,Feature,Feature_Value_bin,Feature_Value,Avg_SHAP
0,P_charged_centers,0.0,0.0,-0.005272469196805245
1,P_charged_centers,1.0,1.0,0.0035869907087213685
2,N_charged_centers,1.0,1.0,-0.021653311453801376
3,N_charged_centers,0.0,0.0,0.04270883401406705
4,Double_bonds,1.0,1.0,-0.02739638418090288
5,Double_bonds,2.0,2.0,0.02898143808510597
6,Double_bonds,0.0,0.0,-0.0071883376398155915
7,NP_ratio,4.0,4.0,-0.003997491978000234
8,NP_ratio,8.0,8.0,-0.004515738115951218
9,NP_ratio,12.0,12.0,0.007822429251389033
10,Dlin-MC3_Helper lipid_ratio,200.0,200.0,-0.04139458289945194
11,Dlin-MC3_Helper lipid_ratio,100.0,100.0,-0.04188352326643262
12,Dlin-MC3_Helper lipid_ratio,50.0,50.0,-0.03877752479488507
13,Dlin-MC3_Helper lipid_ratio,10.0,10.0,-0.007496125910219956
14,Dlin-MC3_Helper lipid_ratio,1.0,1.0,0.1233153864568851
15,Dlin-MC3+Helper lipid percentage,20.0,20.0,-0.014158111077354195
16,Dlin-MC3+Helper lipid percentage,40.0,40.0,-0.010651613274631348
17,Dlin-MC3+Helper lipid percentage,60.0,60.0,-5.114309323796025e-06
18,Dlin-MC3+Helper lipid percentage,80.0,80.0,0.017202984936801113
19,Chol_DMG-PEG_ratio,500.0,500.0,-0.002608147598835705
20,Chol_DMG-PEG_ratio,100.0,100.0,0.014057608231673464
21,Chol_DMG-PEG_ratio,10.0,10.0,-0.011197754949054433
22,Zeta,"(-9.666666666666668, -0.5555555555555571)",-5.1111111111111125,-0.009856319787656923
23,Zeta,"(-0.5555555555555571, 8.555555555555557)",4.0,0.01037642616895237
24,Zeta,"(-18.77777777777778, -9.666666666666668)",-14.222222222222223,-0.013306913589456348
25,Zeta,"(-27.88888888888889, -18.77777777777778)",-23.333333333333336,-0.010435843133465086
26,Zeta,"(8.555555555555557, 17.666666666666664)",13.11111111111111,0.03829667984242357
27,Zeta,"(-37.0, -27.88888888888889)",-32.44444444444444,-0.007925305523221404
28,Zeta,"(17.666666666666664, 26.77777777777777)",22.222222222222218,0.02557406435846757
29,Zeta,"(35.888888888888886, 45.0)",40.44444444444444,0.016733671270301946
30,Zeta,"(26.77777777777777, 35.888888888888886)",31.33333333333333,-0.0036144032344209683
